Device: cuda, seed: 44

=== Experiment: Alzheimer (OASIS-1 MRI slices), HC vs AD ===
  epoch 0: train_loss=0.4101 val_acc=0.8244
  epoch 1: train_loss=0.3290 val_acc=0.8017
  epoch 2: train_loss=0.2794 val_acc=0.7811
  epoch 3: train_loss=0.2235 val_acc=0.7972
  epoch 4: train_loss=0.1805 val_acc=0.8078
  epoch 5: train_loss=0.1364 val_acc=0.8383
RESULT alzheimer_hc_vs_ad: {'accuracy': 0.8388888888888889, 'macro_f1': 0.6620913052597236, 'sensitivity_per_class': {0: 1.0, 1: 0.2639593908629442}, 'specificity_per_class': {0: 0.2639593908629442, 1: 1.0}, 'auc_roc': 0.9778234686730546, 'best_val_acc': 0.8383333333333334, 'n_train': 8400, 'n_val': 1800, 'n_test': 1800}

=== Experiment: Parkinson's motor drawings (spiral), healthy vs PD, 5-fold CV ===
  -- fold 0: n_train=64 n_val=17 n_test=21
  epoch 0: train_loss=0.7431 val_acc=0.4706
  epoch 1: train_loss=0.6248 val_acc=0.3529
  epoch 2: train_loss=0.5598 val_acc=0.6471
  epoch 3: train_loss=0.4954 val_acc=0.5294
  epoch 4: train_loss=0.4186 val_acc=0.6471
  epoch 5: train_loss=0.3960 val_acc=0.6471
  epoch 6: train_loss=0.3694 val_acc=0.7647
  epoch 7: train_loss=0.3262 val_acc=0.7059
  epoch 8: train_loss=0.3198 val_acc=0.9412
  epoch 9: train_loss=0.2179 val_acc=0.5882
  epoch 10: train_loss=0.2710 val_acc=0.5882
  epoch 11: train_loss=0.2510 val_acc=0.5882
  epoch 12: train_loss=0.2268 val_acc=0.8235
  epoch 13: train_loss=0.1496 val_acc=0.4706
  epoch 14: train_loss=0.2044 val_acc=0.5294
  epoch 15: train_loss=0.2139 val_acc=0.8824
  epoch 16: train_loss=0.1355 val_acc=0.7647
  epoch 17: train_loss=0.2222 val_acc=0.6471
  epoch 18: train_loss=0.1052 val_acc=0.8824
  epoch 19: train_loss=0.1409 val_acc=0.4706
  epoch 20: train_loss=0.0795 val_acc=0.8235
  epoch 21: train_loss=0.0956 val_acc=0.4706
  epoch 22: train_loss=0.0535 val_acc=0.8824
  epoch 23: train_loss=0.0647 val_acc=0.4706
  epoch 24: train_loss=0.0843 val_acc=0.5294
  -- fold 1: n_train=64 n_val=17 n_test=21
  epoch 0: train_loss=0.7221 val_acc=0.4706
  epoch 1: train_loss=0.5931 val_acc=0.4706
  epoch 2: train_loss=0.5053 val_acc=0.4118
  epoch 3: train_loss=0.4020 val_acc=0.4706
  epoch 4: train_loss=0.3195 val_acc=0.5294
  epoch 5: train_loss=0.2811 val_acc=0.6471
  epoch 6: train_loss=0.2543 val_acc=0.5882
  epoch 7: train_loss=0.2249 val_acc=0.5294
  epoch 8: train_loss=0.2009 val_acc=0.4706
  epoch 9: train_loss=0.1721 val_acc=0.5882
  epoch 10: train_loss=0.1577 val_acc=0.5294
  epoch 11: train_loss=0.0964 val_acc=0.5882
  epoch 12: train_loss=0.1262 val_acc=0.4706
  epoch 13: train_loss=0.2241 val_acc=0.4706
  epoch 14: train_loss=0.1230 val_acc=0.5882
  epoch 15: train_loss=0.0699 val_acc=0.5882
  epoch 16: train_loss=0.0783 val_acc=0.5882
  epoch 17: train_loss=0.0632 val_acc=0.5882
  epoch 18: train_loss=0.0487 val_acc=0.5294
  epoch 19: train_loss=0.2028 val_acc=0.4706
  epoch 20: train_loss=0.1522 val_acc=0.6471
  epoch 21: train_loss=0.1517 val_acc=0.5294
  epoch 22: train_loss=0.0639 val_acc=0.5882
  epoch 23: train_loss=0.0665 val_acc=0.4118
  epoch 24: train_loss=0.1005 val_acc=0.6471
  -- fold 2: n_train=65 n_val=17 n_test=20
  epoch 0: train_loss=0.7182 val_acc=0.5294
  epoch 1: train_loss=0.5453 val_acc=0.5294
  epoch 2: train_loss=0.5436 val_acc=0.5294
  epoch 3: train_loss=0.4472 val_acc=0.5294
  epoch 4: train_loss=0.4581 val_acc=0.5294
  epoch 5: train_loss=0.4214 val_acc=0.7059
  epoch 6: train_loss=0.3299 val_acc=0.5294
  epoch 7: train_loss=0.3728 val_acc=0.7647
  epoch 8: train_loss=0.2992 val_acc=0.5882
  epoch 9: train_loss=0.3357 val_acc=0.4706
  epoch 10: train_loss=0.3356 val_acc=0.5882
  epoch 11: train_loss=0.3222 val_acc=0.5882
