Device: cuda, seed: 42

=== Experiment: Alzheimer (OASIS-1 MRI slices), HC vs AD ===
  epoch 0: train_loss=0.4312 val_acc=0.8350
  epoch 1: train_loss=0.3307 val_acc=0.8717
  epoch 2: train_loss=0.2715 val_acc=0.7956
  epoch 3: train_loss=0.2283 val_acc=0.8900
  epoch 4: train_loss=0.1747 val_acc=0.9233
  epoch 5: train_loss=0.1335 val_acc=0.9044
  saved checkpoint -> /workspace/camfn_multimodal_system/experiments/checkpoints/alzheimer_mri.pt
RESULT alzheimer_hc_vs_ad: {'accuracy': 0.9233333333333333, 'macro_f1': 0.8902757065820441, 'sensitivity_per_class': {0: 0.9464285714285714, 1: 0.8425}, 'specificity_per_class': {0: 0.8425, 1: 0.9464285714285714}, 'auc_roc': 0.9655089285714287, 'best_val_acc': 0.9233333333333333, 'n_train': 8400, 'n_val': 1800, 'n_test': 1800}

=== Experiment: Parkinson's motor drawings (spiral), healthy vs PD, 5-fold CV ===
  -- fold 0: n_train=64 n_val=17 n_test=21
  epoch 0: train_loss=0.7611 val_acc=0.5294
  epoch 1: train_loss=0.6182 val_acc=0.5294
  epoch 2: train_loss=0.5314 val_acc=0.5294
  epoch 3: train_loss=0.4621 val_acc=0.4706
  epoch 4: train_loss=0.4269 val_acc=0.5882
  epoch 5: train_loss=0.3015 val_acc=0.6471
  epoch 6: train_loss=0.3322 val_acc=0.5882
  epoch 7: train_loss=0.2747 val_acc=0.6471
  epoch 8: train_loss=0.3398 val_acc=0.5294
  epoch 9: train_loss=0.2207 val_acc=0.6471
  epoch 10: train_loss=0.2062 val_acc=0.5882
  epoch 11: train_loss=0.1653 val_acc=0.6471
  epoch 12: train_loss=0.0986 val_acc=0.5294
  epoch 13: train_loss=0.1231 val_acc=0.5294
  epoch 14: train_loss=0.1020 val_acc=0.6471
  epoch 15: train_loss=0.1985 val_acc=0.4706
  epoch 16: train_loss=0.1439 val_acc=0.6471
  epoch 17: train_loss=0.0941 val_acc=0.5294
  epoch 18: train_loss=0.2070 val_acc=0.5294
  epoch 19: train_loss=0.1664 val_acc=0.7647
  epoch 20: train_loss=0.1998 val_acc=0.5882
  epoch 21: train_loss=0.0737 val_acc=0.7059
  epoch 22: train_loss=0.0953 val_acc=0.6471
  epoch 23: train_loss=0.0811 val_acc=0.5882
  epoch 24: train_loss=0.0951 val_acc=0.5294
  saved checkpoint -> /workspace/camfn_multimodal_system/experiments/checkpoints/pd_motor_spiral.pt
  -- fold 1: n_train=64 n_val=17 n_test=21
  epoch 0: train_loss=0.7436 val_acc=0.5294
  epoch 1: train_loss=0.6429 val_acc=0.4118
  epoch 2: train_loss=0.5071 val_acc=0.5294
  epoch 3: train_loss=0.5189 val_acc=0.5294
  epoch 4: train_loss=0.4213 val_acc=0.5294
  epoch 5: train_loss=0.3780 val_acc=0.4706
  epoch 6: train_loss=0.3467 val_acc=0.5294
  epoch 7: train_loss=0.3108 val_acc=0.4706
  epoch 8: train_loss=0.3143 val_acc=0.6471
  epoch 9: train_loss=0.3057 val_acc=0.7059
  epoch 10: train_loss=0.1877 val_acc=0.7647
  epoch 11: train_loss=0.2050 val_acc=0.4706
  epoch 12: train_loss=0.1620 val_acc=0.4706
  epoch 13: train_loss=0.1392 val_acc=0.5882
  epoch 14: train_loss=0.1148 val_acc=0.7059
  epoch 15: train_loss=0.0779 val_acc=0.7059
  epoch 16: train_loss=0.0731 val_acc=0.7059
  epoch 17: train_loss=0.1006 val_acc=0.7059
  epoch 18: train_loss=0.0893 val_acc=0.4706
  epoch 19: train_loss=0.0703 val_acc=0.5294
  epoch 20: train_loss=0.1070 val_acc=0.7059
  epoch 21: train_loss=0.1245 val_acc=0.7059
  epoch 22: train_loss=0.1296 val_acc=0.5294
  epoch 23: train_loss=0.2021 val_acc=0.4706
  epoch 24: train_loss=0.1045 val_acc=0.7647
  -- fold 2: n_train=65 n_val=17 n_test=20
  epoch 0: train_loss=0.8575 val_acc=0.4706
  epoch 1: train_loss=0.6825 val_acc=0.5294
  epoch 2: train_loss=0.6220 val_acc=0.5294
  epoch 3: train_loss=0.5634 val_acc=0.5294
  epoch 4: train_loss=0.5384 val_acc=0.7059
  epoch 5: train_loss=0.5538 val_acc=0.6471
  epoch 6: train_loss=0.4756 val_acc=0.4706
  epoch 7: train_loss=0.4878 val_acc=0.6471
